ELEMENTO.ID;DSC;TIPO;CONTEXTO;PORC.APL;EDIFICIO;NIVEL;PISO;DEPTO;COSTO;COSTO.PORC
E06.F1.C2;Capa 2;NIVEL;NIVEL;1.0;E06;N1;;;128.091333;0.0003704047
E12.F1.C3;Capa 3;NIVEL;NIVEL;1.0;E12;N1;;;128.091333;0.0003704047
E09.F1.C4;Capa 4;NIVEL;NIVEL;1.0;E09;N1;;;128.091333;0.0003704047
E09.F1.C5;Capa 5;NIVEL;NIVEL;1.0;E09;N1;;;128.091333;0.0003704047
E09.F1.C6;Capa 6;NIVEL;NIVEL;1.0;E09;N1;;;128.091333;0.0003704047
E10.F1.C1;Capa 1;NIVEL;NIVEL;1.0;E10;N1;;;128.091333;0.0003704047
E10.F1.C2;Capa 2;NIVEL;NIVEL;1.0;E10;N1;;;128.091333;0.0003704047
E10.F1.C3;Capa 3;NIVEL;NIVEL;1.0;E10;N1;;;128.091333;0.0003704047
E10.F1.C4;Capa 4;NIVEL;NIVEL;1.0;E10;N1;;;128.091333;0.0003704047
E10.F1.C5;Capa 5;NIVEL;NIVEL;1.0;E10;N1;;;128.091333;0.0003704047
E10.F1.C6;Capa 6;NIVEL;NIVEL;1.0;E10;N1;;;128.091333;0.0003704047
E11.F1.C1;Capa 1;NIVEL;NIVEL;1.0;E11;N1;;;128.091333;0.0003704047
E11.F1.C2;Capa 2;NIVEL;NIVEL;1.0;E11;N1;;;128.091333;0.0003704047
E11.F1.C4;Capa 4;NIVEL;NIVEL;1.0;E11;N1;;;128.091333;0.0003704047
E11.F1.C5;Capa 5;NIVEL;NIVEL;1.0;E11;N1;;;128.091333;0.0003704047
E11.F1.C6;Capa 6;NIVEL;NIVEL;1.0;E11;N1;;;128.091333;0.0003704047
E12.F1.C1;Capa 1;NIVEL;NIVEL;1.0;E12;N1;;;128.091333;0.0003704047
E12.F1.C2;Capa 2;NIVEL;NIVEL;1.0;E12;N1;;;128.091333;0.0003704047
E09.F1.C3;Capa 3;NIVEL;NIVEL;1.0;E09;N1;;;128.091333;0.0003704047
E09.F1.C2;Capa 2;NIVEL;NIVEL;1.0;E09;N1;;;128.091333;0.0003704047
E06.F1.C3;Capa 3;NIVEL;NIVEL;1.0;E06;N1;;;128.091333;0.0003704047
E06.F1.C4;Capa 4;NIVEL;NIVEL;1.0;E06;N1;;;128.091333;0.0003704047
E06.F1.C5;Capa 5;NIVEL;NIVEL;1.0;E06;N1;;;128.091333;0.0003704047
E06.F1.C6;Capa 6;NIVEL;NIVEL;1.0;E06;N1;;;128.091333;0.0003704047
E07.F1.C1;Capa 1;NIVEL;NIVEL;1.0;E07;N1;;;128.091333;0.0003704047
E07.F1.C2;Capa 2;NIVEL;NIVEL;1.0;E07;N1;;;128.091333;0.0003704047
E07.F1.C3;Capa 3;NIVEL;NIVEL;1.0;E07;N1;;;128.091333;0.0003704047
E07.F1.C4;Capa 4;NIVEL;NIVEL;1.0;E07;N1;;;128.091333;0.0003704047
E07.F1.C5;Capa 5;NIVEL;NIVEL;1.0;E07;N1;;;128.091333;0.0003704047
E07.F1.C6;Capa 6;NIVEL;NIVEL;1.0;E07;N1;;;128.091333;0.0003704047
E09.F1.C1;Capa 1;NIVEL;NIVEL;1.0;E09;N1;;;128.091333;0.0003704047
E08.F1.C6;Capa 6;NIVEL;NIVEL;1.0;E08;N1;;;128.091333;0.0003704047
E08.F1.C5;Capa 5;NIVEL;NIVEL;1.0;E08;N1;;;128.091333;0.0003704047
E08.F1.C4;Capa 4;NIVEL;NIVEL;1.0;E08;N1;;;128.091333;0.0003704047
E08.F1.C3;Capa 3;NIVEL;NIVEL;1.0;E08;N1;;;128.091333;0.0003704047
E08.F1.C2;Capa 2;NIVEL;NIVEL;1.0;E08;N1;;;128.091333;0.0003704047
E08.F1.C1;Capa 1;NIVEL;NIVEL;1.0;E08;N1;;;128.091333;0.0003704047
E14.P0;Piso 0;PISO;;0;E14;;P0;;515.273149;0.0014900273
E17.P0;Piso 0;PISO;;0;E17;;P0;;515.273149;0.0014900273
E15.P0;Piso 0;PISO;;0;E15;;P0;;515.273149;0.0014900273
E16.P0;Piso 0;PISO;;0;E16;;P0;;515.273149;0.0014900273
E01.P0;Piso 0;PISO;;0;E01;;P0;;515.273149;0.0014900273
E14.P1;Piso 1;PISO;;0;E14;;P1;;945.816462;0.0027350394
E13.P1;Piso 1;PISO;;0;E13;;P1;;945.816462;0.0027350394
E12.P1;Piso 1;PISO;;0;E12;;P1;;945.816462;0.0027350394
E11.P1;Piso 1;PISO;;0;E11;;P1;;945.816462;0.0027350394
E10.P1;Piso 1;PISO;;0;E10;;P1;;945.816462;0.0027350394
E09.P1;Piso 1;PISO;;0;E09;;P1;;945.816462;0.0027350394
E01.P1;Piso 1;PISO;;0;E01;;P1;;945.816462;0.0027350394
E02.P1;Piso 1;PISO;;0;E02;;P1;;945.816462;0.0027350394
E03.P1;Piso 1;PISO;;0;E03;;P1;;945.816462;0.0027350394
E04.P1;Piso 1;PISO;;0;E04;;P1;;945.816462;0.0027350394
E05.P1;Piso 1;PISO;;0;E05;;P1;;945.816462;0.0027350394
E06.P1;Piso 1;PISO;;0;E06;;P1;;945.816462;0.0027350394
E07.P1;Piso 1;PISO;;0;E07;;P1;;945.816462;0.0027350394
E08.P1;Piso 1;PISO;;0;E08;;P1;;945.816462;0.0027350394
E16.P1;Piso 1;PISO;;0;E16;;P1;;945.816462;0.0027350394
E18.P1;Piso 1;PISO;;0;E18;;P1;;945.816462;0.0027350394
E15.P1;Piso 1;PISO;;0;E15;;P1;;945.816462;0.0027350394
